id,tenant_id,name,address,place_id
88,1,Auchan,"Centre Commercial De La, Av. de la Maison Neuve, Brétigny-sur-Orge",ChIJi2FONrLb5UcRhOdBxoXkSuE
89,1,Auchan Supermarché Conflans Ste Honorine,"Rue de l'Ambassadeur 113-117, Conflans-Sainte-Honorine",ChIJBaUq8qaK5kcRSIBO2HklsQE
90,1,Auchan Supermarché Bretigny,"12 Pl. Federico Garcia Lorca, Brétigny-sur-Orge",ChIJi2FONrLb5UcR1E8IhQaB4TY
91,1,Auchan Supermarché Saint-Maur Des Fosses,"196 Bd de Créteil, Saint-Maur-des-Fossés",ChIJHZGp01gM5kcR-ppL80Lcl1Y
92,1,Auchan Hypermarché Soisy Sous Montmorency,"28 Av. de Paris, Soisy-sous-Montmorency",ChIJm95oD3do5kcR6t_exu4M178
93,1,Auchan Supermarché Paris Batignolles,"7/9 Bd des Batignolles, Paris",ChIJsz6v80xu5kcR4JZ2IdPh6v0
94,1,Auchan Hypermarché Issy Les Moulineaux,"Centre Commercial des 3 Moulins, 1 Rue Aristide Briand, Issy-les-Moulineaux",ChIJT-1iRJN75kcRC3Lt0fsOffk
95,1,Auchan,"108 Bd Emile Zola, Houilles",ChIJF-WK4_Zj5kcRN1kM5RqZ8wk
96,1,Auchan Supermarché Romainville,"97 Rue de la République, Romainville",ChIJHQsI_D1t5kcR2nEFG5S9w88
97,1,Auchan Supermarché Chatillon,"160 Av. de Paris, Châtillon",ChIJp3YH_fJw5kcR7XmRXB_36WM
98,1,Auchan,"Centre Commercial Westfield les 4 Temps Le Parvis de La Défense, Puteaux",ChIJIYfRfgJl5kcRkS6tD3A-CF8
99,1,Auchan supermarket - Chelles,"ZI Chelles La Belle Ile, Av. Sylvie, Chelles",ChIJE5qiksoR5kcRvKI6VzVQE_E
100,1,Auchan Supermarché Paris Gouvion St-Cyr,"31 Bd Gouvion-Saint-Cyr, Paris",ChIJJz3Heo5v5kcR2ltbgpICBic
101,1,Auchan Supermarché Cachan,"24 Rue Cousté, Cachan",ChIJuSsHtj9x5kcRldE1F3yCa_A
102,1,Auchan,"161 Rue de Ménilmontant, Paris",ChIJPXm50JZt5kcRyAeBiG2eT3M
103,1,Auchan Supermarché Charenton,"3 Pl. des Marseillais, Charenton-le-Pont",ChIJO51LPvhy5kcRAfycXHuQ7LI
104,1,Auchan Supermarché Saint-Germain-En-Laye,"76 - 80 Rue du Maréchal Lyautey, Saint-Germain-en-Laye",ChIJW1YpPimI5kcRDzE-_mKIpt0
105,1,Auchan Supermarché Rueil-Malmaison,"262 Av. Napoléon Bonaparte, Rueil-Malmaison",ChIJZVgzIkFj5kcRGCuMeOA6_Oc
106,1,Auchan Supermarché Montfermeil,"Les 7 Iles, 186 Av. Jean Jaurès, Montfermeil",ChIJ37Grhm0R5kcR43HZDM5abcs
107,1,Auchan,"Ilot Charaire, CHARAIRE FR, Rue Houdan, Sceaux",ChIJq6HrVDR35kcR1yMxrlmaEwA
108,1,Auchan Supermarché Aubervilliers,"55 Rue de la Commune de Paris, Aubervilliers",ChIJDex_YSRs5kcR1bO3SUmwmqU
109,1,Auchan,"PALAISEAU FR, Pl. de l'Union Européenne, Massy",ChIJi0dJWSV45kcR1oE278vq_h0
110,1,Auchan Supermarché Leuville-Sur-Orge,"19 Rue du 8 Mai 1945, Leuville-sur-Orge",ChIJ7_CqLvrZ5UcRQbgjF_T61_w
111,1,Auchan Supermarché Draveil,"32 Pl. de la République, Draveil",ChIJ9-3hvI_f5UcRYHRv26Bbglo
112,1,Auchan,"121 Rue de Reuilly, Paris",ChIJRWsVtG5y5kcRCMHQ6VhqdQE
113,1,Auchan Supermarché Sartrouville,"80 Av. Maurice Berteaux, Sartrouville",ChIJ63GTEGJh5kcRKYW3eHh0vuo
114,1,Auchan Supermarché Saint-Fargeau,"46 Av. de Fontainebleau, Saint-Fargeau-Ponthierry",ChIJbdK21mHv5UcR54bhhrr0oBE
115,1,Auchan Supermarché Chantilly,"5 Pl. Omer Vallon, Chantilly",ChIJHXuV5xRI5kcRK6V04HN6LdM
116,1,Auchan,"Centre commercial Boissenart, D306, Cesson",ChIJCQOp3sbk5UcRsEM_NtbSM6k
117,1,Auchan Supermarché Paris - Tolbiac,"204 Rue de Tolbiac, Paris",ChIJ-Zm5_Jlx5kcR0qwWZt51gUM
118,1,Auchan Supermarché Jouy-En-Josas,"50 Av. Jean Jaurès, Jouy-en-Josas",ChIJiZ7mabx-5kcRKD8h3B4lLE4
119,1,Auchan Supermarché Paris - Avron,"39 Rue d'Avron, Paris",ChIJo9_A0Xly5kcRIfHdM6Y3S10
120,1,Auchan St Loup Marseille,"57 Bd Romain Rolland, Marseille",ChIJgXkwmjK_yRIRnu9kbts8t9M
121,1,Auchan Hypermarché Aubagne-En-Provence,"Rte de Gémenos, Aubagne",ChIJhTKNixGjyRIRXaTAa1LHlJM
122,1,Auchan Hypermarché Toulon La-Seyne-Sur-Mer,"Quartier Lery, Bd de l'Europe, La Seyne-sur-Mer",ChIJPWvkFIgEyRIRxMer1_5WviI
123,1,Auchan Hypermarché Martigues,"Bd Paul Eluard, Martigues",ChIJGajUwCUethIRSuugTaJsWiA
124,1,Auchan,"100 avenue Gabriel Peri, Imp. des Mésanges ZAC des, Aubagne",ChIJgWNVYzajyRIRuJ75Y09brYo
125,1,Auchan Supermarché Marseille La Fourragère,"120 Rue Saint-Jean du Désert, Marseille",ChIJJ9KLSiC_yRIRzPMNkX9xl1g
126,1,Auchan,"66 Bd de Strasbourg, Marseille",ChIJQWxseprAyRIRhEtuhUvOlfk
